9789861612607,媽媽買綠豆,,,,1,1,,中文
9789861612744,古利和古拉,,,1,1,,,中文
9789861613833,爸爸的紅雨傘,1,,,,,,中文
9789861614205,早安晚安：給0 ~ 3歲的自理兒歌(附CD),1,,,1,,,中文
9789861614601,誰的家到了,1,1,,,,,中文
9789861614618,煙花,,,1,,,,中文
9789861614649,赤腳國王,,1,,,,,中文
9789861892122,明月光,1,,1,,,,中文
9789862031346,漫畫三字經,2,,,2,2,,中文
9789862031353,漫畫弟子規,2,,,2,2,,中文
9789862034187,與實物等大：水族館,,,,,,2,中文
9789862034194,與實物等大: 動物園 2,,,,,,2,中文
9789862034200,與實物等大: 動物園 1,,,,,,2,中文
9789862110249,小偵探找一找？,,1,1,,,,中文
9789862110539,大頭妹與眼鏡弟,,,,1,1,,中文
9789862110850,100層樓的家,,1,1,,,1,中文
9789862111215,你一半，我一半,,,,1,1,,中文
9789862111239,別學我,,,,1,1,,中文
9789862111383,好痛唷！好痛唷！,,,,1,1,,中文
9789862111512,彩色溫泉,,,,1,1,,中文
9789862111642,地下100層樓的家,,1,1,,,1,中文
9789862111741,大猩猩的麵包店,,,,1,,,中文
9789862111888,車子工作中: 上得去嗎？,,,,1,,,中文
9789862111895,車子工作中: 交給我吧！,,,,1,,,中文
9789862111901,車子工作中: 嘿咻，用點力！,,,,1,,,中文
9789862112007,鼠小弟刷刷牙,,,,1,,,中文
9789862112038,寶寶的第一套乘物繪本車子工作中,,,,1,1,,中文
9789862112076,你會上學校的廁所嗎?,,,,1,,,中文
9789862112229,到底在排什麼呢？,,,,,1,,中文
9789862112335,CO2交通工具圖鑑,,1,,,,1,中文
9789862112489,原來數字可以這樣玩啊！,,1,1,,,,中文
9789862112526,親一親,,,,1,1,,中文
9789862112533,排好了唷!,,,,1,1,,中文
9789862112540,這是我的!,,,,1,1,,中文
9789862112557,人體大研究,,,,,,1,中文
9789862112571,寶寶的第一套成長紀錄繪本,,,,1,,,中文
9789862112595,動物外套捉迷藏(中英雙語),,,,,,1,中文
9789862112601,水果水果捉迷藏(中英雙語),,,,,,1,中文
9789862112663,恐龍王國冒險迷宮,,2,,,,,中文
9789862112731,這是誰的？,,,,1,1,,中文
9789862112786,現在工作中,,,1,,,,中文
9789862112793,小雞逛遊樂園,,,,1,,,中文
9789862112908,小熊走鋼索,,,,1,,,中文
9789862112960,青蛙與男孩,,,,1,,,中文
9789862112977,向世界打招呼,,,,1,,,中文
9789862112984,看，水果是這樣的！,,,,1,,1,中文
9789862113004,看，蔬菜是這樣的！,,,,1,,1,中文
9789862113127,這是什麼店？,,1,1,,,,中文
9789862113486,小雞過生日,,,,1,1,,中文
9789862113493,寶寶的第一套小雞幸福繪本,,,,1,1,,中文
9789862113554,便便!,,,,1,,,中文
9789862113622,小小人兒來幫忙,,,,1,1,,中文
9789862113639,勇氣,,,,1,,,中文
9789862113769,動物絕對不應該穿衣服,,,,1,,,中文
9789862164181,故事奇想樹1: 用點心學校,2,,,,,,中文
9789862166321,下雨了！,2,,,,,,中文
9789862167038,用點心學校2：好新鮮教室,2,,,,,,中文
9789862168752,用點心學校3：老師有夠辣,2,,,,,,中文
9789862410264,大家一起搭積木,,,,,1,,中文
9789862410271,大家一起鋪鐵軌,,,,,1,,中文
9789862410288,大家一起來畫畫,,,,,1,,中文
9789862410295,大家一起做料理,,,,,1,,中文
